session_id,user_id,product_id,timestamp,event_type
0002587e,13,53,2024-02-25 00:00:00,view
0002587e,13,53,2024-02-25 00:27:00,click
0002587e,13,53,2024-02-25 00:37:00,add_to_cart
0002587e,13,53,2024-02-25 01:04:00,purchase
000748bd,2503,71,2024-01-03 00:00:00,view
000748bd,2503,71,2024-01-03 00:02:00,out
000748bd,2503,71,2024-01-03 00:07:00,view
000748bd,2503,71,2024-01-03 00:12:00,click
000748bd,2503,71,2024-01-03 00:13:00,add_to_cart
000748bd,2503,71,2024-01-03 00:15:00,purchase
000dec24,823,94,2024-03-04 00:00:00,view
000dec24,823,94,2024-03-04 00:01:00,click
000dec24,823,94,2024-03-04 00:05:00,add_to_cart
000dec24,823,94,2024-03-04 00:09:00,purchase
001f2354,2374,18,2024-04-06 00:00:00,view
001f2354,2374,18,2024-04-06 00:01:00,out
001f2354,2374,18,2024-04-06 00:03:00,view
001f2354,2374,18,2024-04-06 00:07:00,click
001f2354,2374,18,2024-04-06 00:11:00,add_to_cart
001f2354,2374,18,2024-04-06 00:12:00,purchase
00210db8,758,54,2024-01-24 00:00:00,view
00210db8,758,54,2024-01-24 00:02:00,click
00210db8,758,54,2024-01-24 00:05:00,add_to_cart
00210db8,758,54,2024-01-24 00:10:00,purchase
00267243,3470,68,2024-01-31 00:00:00,view
00267243,3470,68,2024-01-31 00:02:00,out
00267243,3470,68,2024-01-31 00:05:00,view
00267243,3470,68,2024-01-31 00:06:00,click
00267243,3470,68,2024-01-31 00:11:00,add_to_cart
00267243,3470,68,2024-01-31 00:14:00,purchase
0026ebf3,436,93,2024-04-23 00:00:00,view
0026ebf3,436,93,2024-04-23 00:04:00,click
0026ebf3,436,93,2024-04-23 00:08:00,add_to_cart
0026ebf3,436,93,2024-04-23 00:11:00,purchase
002c6c95,756,76,2024-04-27 00:00:00,view
002c6c95,756,76,2024-04-27 00:01:00,out
002c6c95,756,76,2024-04-27 00:03:00,view
002c6c95,756,76,2024-04-27 00:05:00,click
002c6c95,756,76,2024-04-27 00:07:00,add_to_cart
002c6c95,756,76,2024-04-27 00:12:00,purchase
003d4f8d,3201,42,2024-03-01 00:00:00,view
003d4f8d,3201,42,2024-03-01 00:27:00,click
003d4f8d,3201,42,2024-03-01 00:56:00,add_to_cart
003d4f8d,3201,42,2024-03-01 01:06:00,purchase
0043f9ee,1620,19,2024-01-05 00:00:00,view
0043f9ee,1620,19,2024-01-05 00:26:00,reject
006fdcfe,1635,28,2024-03-01 00:00:00,view
006fdcfe,1635,28,2024-03-01 00:40:00,out
006fdcfe,1635,28,2024-03-01 01:09:00,view
006fdcfe,1635,28,2024-03-01 01:31:00,reject
008dc6b5,2477,60,2024-03-16 00:00:00,view
008dc6b5,2477,60,2024-03-16 01:58:00,click
009015cf,1869,21,2024-01-22 00:00:00,view
009015cf,1869,21,2024-01-22 00:02:00,click
009015cf,1869,21,2024-01-22 00:04:00,add_to_cart
009015cf,1869,21,2024-01-22 00:08:00,purchase
0090d3ac,3211,98,2024-03-31 01:32:00,view
0090d3ac,3211,98,2024-03-31 02:02:00,click
0090d3ac,3211,98,2024-03-31 02:30:00,purchase
009a2dae,861,35,2024-02-04 00:00:00,view
009a2dae,861,35,2024-02-04 00:16:00,reject
00a36cf3,2557,11,2024-02-21 00:00:00,view
00a36cf3,2557,11,2024-02-21 01:58:00,click
00a7deba,664,10,2024-04-25 00:00:00,view
00a7deba,664,10,2024-04-25 00:03:00,click
00a7deba,664,10,2024-04-25 00:05:00,add_to_cart
00a7deba,664,10,2024-04-25 00:07:00,purchase
00d61473,719,80,2024-04-22 00:14:00,view
00d61473,719,80,2024-04-22 00:19:00,click
00d61473,719,80,2024-04-22 00:21:00,purchase
00d7e87b,3742,20,2024-01-15 00:00:00,view
00d7e87b,3742,20,2024-01-15 00:58:00,click
00dce096,1417,55,2024-03-12 00:00:00,view
00dce096,1417,55,2024-03-12 00:16:00,click
00dce096,1417,55,2024-03-12 00:27:00,add_to_cart
00dce096,1417,55,2024-03-12 00:55:00,reject
00df766a,2205,33,2024-04-03 00:00:00,view
00df766a,2205,33,2024-04-03 00:13:00,click
00df766a,2205,33,2024-04-03 00:39:00,add_to_cart
00df766a,2205,33,2024-04-03 00:50:00,purchase
00e33506,613,32,2024-02-28 00:00:00,view
00e33506,613,32,2024-02-28 00:22:00,click
00e33506,613,32,2024-02-28 00:50:00,add_to_cart
00e33506,613,32,2024-02-28 01:08:00,purchase
00e41302,689,40,2024-01-19 00:15:00,view
00e41302,689,40,2024-01-19 00:19:00,click
00e41302,689,40,2024-01-19 00:20:00,purchase
00f00944,3319,97,2024-03-23 00:00:00,view
00f00944,3319,97,2024-03-23 00:05:00,click
00f00944,3319,97,2024-03-23 00:28:00,add_to_cart
00f00944,3319,97,2024-03-23 00:36:00,purchase
00f840de,1887,78,2024-01-21 00:00:00,view
00f840de,1887,78,2024-01-21 00:05:00,click
00f840de,1887,78,2024-01-21 00:06:00,add_to_cart
00f840de,1887,78,2024-01-21 00:09:00,purchase
00fe0d58,333,42,2024-02-08 00:00:00,view
00fe0d58,333,42,2024-02-08 00:04:00,click
00fe0d58,333,42,2024-02-08 00:09:00,add_to_cart
00fe0d58,333,42,2024-02-08 00:10:00,purchase
00fe692d,1922,28,2024-02-17 00:00:00,view
00fe692d,1922,28,2024-02-17 00:07:00,click
00fe692d,1922,28,2024-02-17 00:34:00,add_to_cart
00fe692d,1922,28,2024-02-17 00:40:00,purchase
012adadb,3363,98,2024-03-14 00:00:00,view
012adadb,3363,98,2024-03-14 00:01:00,click
012adadb,3363,98,2024-03-14 00:02:00,add_to_cart
012adadb,3363,98,2024-03-14 00:03:00,purchase
012adadb,3363,98,2024-03-14 00:06:00,purchase
0134f62d,284,35,2024-02-18 00:00:00,view
0134f62d,284,35,2024-02-18 00:04:00,click
0134f62d,284,35,2024-02-18 00:05:00,add_to_cart
0134f62d,284,35,2024-02-18 00:06:00,purchase
015051b6,3140,75,2024-02-26 00:00:00,view
015051b6,3140,75,2024-02-26 00:27:00,click
015051b6,3140,75,2024-02-26 00:57:00,add_to_cart
015051b6,3140,75,2024-02-26 01:06:00,reject
01581c39,501,12,2024-04-27 00:00:00,view
01581c39,501,12,2024-04-27 01:38:00,click
0167e8f1,2967,75,2024-02-01 00:00:00,view
0167e8f1,2967,75,2024-02-01 00:36:00,click
0172b1af,1231,21,2024-02-04 00:00:00,view
0172b1af,1231,21,2024-02-04 00:05:00,out
0172b1af,1231,21,2024-02-04 00:06:00,view
0172b1af,1231,21,2024-02-04 00:11:00,click
0172b1af,1231,21,2024-02-04 00:15:00,add_to_cart
0172b1af,1231,21,2024-02-04 00:20:00,purchase
0173fa1d,1191,96,2024-05-03 00:22:00,view
0173fa1d,1191,96,2024-05-03 00:25:00,click
0173fa1d,1191,96,2024-05-03 00:29:00,purchase
0177d93c,615,53,2024-01-26 00:00:00,view
0177d93c,615,53,2024-01-26 00:32:00,out
0177d93c,615,53,2024-01-26 01:08:00,view
0177d93c,615,53,2024-01-26 02:02:00,reject
018a5942,1719,60,2024-01-19 00:00:00,view
018a5942,1719,60,2024-01-19 00:03:00,out
018a5942,1719,60,2024-01-19 00:08:00,view
018a5942,1719,60,2024-01-19 00:13:00,click
018a5942,1719,60,2024-01-19 00:15:00,add_to_cart
018a5942,1719,60,2024-01-19 00:19:00,purchase
018e3493,143,14,2024-03-09 00:23:00,view
018e3493,143,14,2024-03-09 00:24:00,click
018e3493,143,14,2024-03-09 00:27:00,purchase
01922c23,561,72,2024-02-13 00:00:00,view
01922c23,561,72,2024-02-13 00:59:00,click
019dabf1,1186,64,2024-04-23 00:00:00,view
019dabf1,1186,64,2024-04-23 00:01:00,click
019dabf1,1186,64,2024-04-23 00:04:00,add_to_cart
019dabf1,1186,64,2024-04-23 00:06:00,purchase
01b9d57e,2904,42,2024-04-29 00:00:00,view
01b9d57e,2904,42,2024-04-29 00:01:00,out
01b9d57e,2904,42,2024-04-29 00:05:00,view
01b9d57e,2904,42,2024-04-29 00:10:00,click
01b9d57e,2904,42,2024-04-29 00:11:00,add_to_cart
01b9d57e,2904,42,2024-04-29 00:15:00,purchase
01bc9de7,433,65,2024-02-25 00:00:00,view
01bc9de7,433,65,2024-02-25 01:31:00,click
01c17b0f,472,84,2024-03-23 00:00:00,view
01c17b0f,472,84,2024-03-23 00:16:00,out
01c17b0f,472,84,2024-03-23 00:33:00,view
01c17b0f,472,84,2024-03-23 00:42:00,click
01c17b0f,472,84,2024-03-23 00:54:00,add_to_cart
01e10c3c,3980,27,2024-03-08 00:00:00,view
01e10c3c,3980,27,2024-03-08 00:43:00,out
01e10c3c,3980,27,2024-03-08 01:11:00,view
01e10c3c,3980,27,2024-03-08 02:10:00,reject
01f182d9,922,92,2024-02-21 00:20:00,view
01f182d9,922,92,2024-02-21 00:21:00,click
01f182d9,922,92,2024-02-21 00:24:00,add_to_cart
01f182d9,922,92,2024-02-21 00:28:00,purchase
01f9843e,3144,19,2024-03-03 00:00:00,view
