session_id,user_id,product_id,timestamp,event_type
059f71f6,2,20,2024-01-31 00:00:00,view
059f71f6,2,20,2024-01-31 00:51:00,click
aebcb07f,2,1,2024-02-15 00:00:00,view
aebcb07f,2,1,2024-02-15 01:12:00,click
6cf41ff3,2,4,2024-02-26 00:00:00,view
6393d405,2,31,2024-02-26 00:00:00,view
6393d405,2,31,2024-02-26 00:01:00,click
6393d405,2,31,2024-02-26 00:03:00,add_to_cart
6393d405,2,31,2024-02-26 00:06:00,purchase
6cf41ff3,2,4,2024-02-26 00:25:00,reject
51c7265b,2,31,2024-03-02 00:07:00,view
51c7265b,2,31,2024-03-02 00:08:00,click
51c7265b,2,31,2024-03-02 00:10:00,add_to_cart
51c7265b,2,31,2024-03-02 00:15:00,purchase
35d7fd18,2,67,2024-04-27 00:00:00,view
35d7fd18,2,67,2024-04-27 00:04:00,click
35d7fd18,2,67,2024-04-27 00:08:00,add_to_cart
35d7fd18,2,67,2024-04-27 00:13:00,purchase
9997aba3,3,3,2024-02-25 00:00:00,view
9997aba3,3,3,2024-02-25 00:20:00,click
9997aba3,3,3,2024-02-25 00:39:00,reject
9cf59ec2,3,10,2024-03-16 00:00:00,view
9cf59ec2,3,10,2024-03-16 00:03:00,click
9cf59ec2,3,10,2024-03-16 00:06:00,add_to_cart
9cf59ec2,3,10,2024-03-16 00:08:00,purchase
9cf59ec2,3,10,2024-03-16 00:10:00,purchase
edb12200,4,29,2024-02-23 00:00:00,view
edb12200,4,29,2024-02-23 00:04:00,click
edb12200,4,29,2024-02-23 00:06:00,add_to_cart
edb12200,4,29,2024-02-23 00:11:00,purchase
0f6469c4,4,29,2024-02-28 00:16:00,view
0f6469c4,4,29,2024-02-28 00:17:00,click
0f6469c4,4,29,2024-02-28 00:19:00,purchase
ae04be77,6,74,2024-03-21 00:00:00,view
ae04be77,6,74,2024-03-21 00:02:00,click
ae04be77,6,74,2024-03-21 00:06:00,add_to_cart
ae04be77,6,74,2024-03-21 00:07:00,purchase
df9dddee,6,35,2024-03-25 00:00:00,view
8e455d2d,6,74,2024-03-25 00:08:00,view
8e455d2d,6,74,2024-03-25 00:09:00,click
8e455d2d,6,74,2024-03-25 00:11:00,add_to_cart
8e455d2d,6,74,2024-03-25 00:13:00,purchase
df9dddee,6,35,2024-03-25 00:40:00,reject
2d831342,7,91,2024-01-04 00:00:00,view
2d831342,7,91,2024-01-04 01:20:00,out
2d831342,7,91,2024-01-04 02:32:00,view
2d831342,7,91,2024-01-04 03:13:00,click
dff4a44f,7,13,2024-03-15 00:00:00,view
dff4a44f,7,13,2024-03-15 00:02:00,click
dff4a44f,7,13,2024-03-15 00:03:00,add_to_cart
dff4a44f,7,13,2024-03-15 00:04:00,purchase
f927c0a5,7,13,2024-03-19 00:05:00,view
f927c0a5,7,13,2024-03-19 00:10:00,click
f927c0a5,7,13,2024-03-19 00:11:00,add_to_cart
f927c0a5,7,13,2024-03-19 00:16:00,purchase
94029308,8,29,2024-03-11 00:00:00,view
94029308,8,29,2024-03-11 00:04:00,click
94029308,8,29,2024-03-11 00:08:00,add_to_cart
94029308,8,29,2024-03-11 00:10:00,purchase
1816652e,8,85,2024-03-19 00:00:00,view
1816652e,8,85,2024-03-19 00:23:00,click
1816652e,8,85,2024-03-19 00:47:00,add_to_cart
1816652e,8,85,2024-03-19 01:09:00,purchase
89fe5263,8,85,2024-03-22 01:22:00,view
89fe5263,8,85,2024-03-22 01:27:00,click
